7896714205199##CLORIDRATO DE PROPRANOLOL                    80MG CX 30 COMP##6,67 
7896112110583##CLORIDRATO DE PROPRANOLOL                    80MG CX 30 COMP##6,56 
7896112149736##CLORIDRATO DE RANITIDINA                     150MG CX 10 COMP REV##8,26 
7896004718798##CLORIDRATO DE RANITIDINA                     150MG CX 10 COMP REV##9,35 
7896004709369##CLORIDRATO DE RANITIDINA                     150MG CX 20 COMP##21,28 
7894916144025##CLORIDRATO DE RANITIDINA                     150MG CX 20 COMP##16,05 
7896004715827##CLORIDRATO DE RANITIDINA                     150MG CX 20 COMP REV##17,76 
7896112149743##CLORIDRATO DE RANITIDINA                     150MG ENV 20 COMP REV##15,33 
7896004716558##CLORIDRATO DE RANITIDINA                     150MG/10ML FR 120ML##22,01 
7896112149774##CLORIDRATO DE RANITIDINA                     300MG CX  20 COMP REV##27,84 
7896112149767##CLORIDRATO DE RANITIDINA                     300MG CX 10 COMP REV##13,90 
7896004709352##CLORIDRATO DE RANITIDINA                     300MG CX 20 COMP##39,91 
7896004715834##CLORIDRATO DE RANITIDINA                     300MG CX 20 COMP REV##34,12 
7896004718781##CLORIDRATO DE RANITIDINA                     300MG CX 2BL X 5 COMP REV##17,68 
7896004716565##CLORIDRATO DE RANITIDINA                     XPE FR 120ML##20,69 
7894916143738##CLORIDRATO DE RANITIDINA                     XPE FR 120ML##21,97 
7896422517317##CLORIDRATO DE RANITIDINA                     150MG CX 10 COMP##9,09 
7896422517324##CLORIDRATO DE RANITIDINA                     150MG CX 20 COMP##17,81 
7897595602336##CLORIDRATO DE RANITIDINA                     150MG CX 20 COMP REV##16,96 
7896181919032##CLORIDRATO DE RANITIDINA                     150MG CX 20 COMP REV##13,15 
7896181916628##CLORIDRATO DE RANITIDINA                     15MG/ML XPE FR X 120ML##20,62 
7896422504973##CLORIDRATO DE RANITIDINA                     300MG CX 10 COMP##17,32 
7897595602343##CLORIDRATO DE RANITIDINA                     300MG CX 10 COMP REV##16,96 
7896422504980##CLORIDRATO DE RANITIDINA                     300MG CX 20 COMP##34,11 
