7896206401757##SELOZOK                                      50MG CX 20 COMP##22,17 
7896206402860##SELOZOK                                      50MG CX 30 COMP##33,26 
7896206406738##SELOZOK                                      50MG CX 60 COMP##66,49 
7896206403386##SELOZOK FIX                                  5+50MG CX 10 COMP##13,47 
7896206403324##SELOZOK FIX                                  5+50MG CX 30 COMP##40,41 
7897076913890##SELZIC                                       300MG CX 30 COMP REV##29,13 
7897076913937##SELZIC                                       600MG CX 30 COMP REV##56,58 
7898495603584##SEMILLA CREME                                CREME DE PREVENCAO DE ASSADURAS BG 60##23,90 
7898495602433##SEMILLA GEL                                  GEL OLEOSO P/ LIMPEZA DO BEBE FR 120ML##24,60 
7898495602983##SEMILLA SABONETE                             SABONETE MOUSSE P/ BEBE FR 150ML##23,20 
7898495602730##SEMILLA SACHE                                SAIS REFRES P/ BANHO DO BEBE CX 10 SACH X 10##27,40 
7898495605717##SEMILLA TALCO                                80G LIQ BG PLAT X 110##28,49 
7896622304427##SENARETI                                     29MG CX 20 COMP##31,52 
7896622304090##SENARETI                                     9MG GELEIA 150##50,47 
7896622304106##SENARETI                                     9MG GELEIA 250##62,60 
7896083400263##SENE                                         100MG CX 45 CAP##22,24 
7899420505560##SENES                                        10MG CX 10 COMP REV##18,67 
7899420501647##SENES                                        10MG CX 30 COMP REV##56,02 
7899420505546##SENES                                        5MG CX 10 COMP REV##18,67 
7899420501579##SENES                                        5MG CX 30 COMP REV##56,02 
7893736012897##SENNALAX                                     FR 100##20,24 
7898208146223##SENOCLIN                                     150MG SOL INJ CX 50 AMP X 2ML HOSP##246,37 
7898208146247##SENOCLIN                                     150MG SOL INJ CX 50 AMP X 4ML HOSP##492,74 
7896714230252##SENSIDERME                                   2MG POM BG 30##7,49 
7896094200579##SENSITRAM                                    100MG CX 10 COMP REV##29,77 
7896094200791##SENSITRAM                                    100MG CX 30 COMP REV##89,78 
7896015529000##SENSODYNE                                    BRANQ. EXTRA FRESH 90G+ESCOVA DENTAL##8,35 
7896015523978##SENSODYNE                                    BRANQUEADOR 90G PACK 3##25,05 
7896015523985##SENSODYNE                                    COOL GEL 90G PACK 3##25,05 
